s,p,o
country:MLI,Population growth (annual %),2.94325
country:MRT,Population growth (annual %),2.66229
country:NGA,Population growth (annual %),2.52019
country:MNP,Population growth (annual %),0.611432
country:NCL,Population growth (annual %),0.242389
country:NLD,Population growth (annual %),0.525549
country:MWI,Population growth (annual %),2.67039
country:MNG,Population growth (annual %),1.54341
country:MYS,Population growth (annual %),1.25941
country:NER,Population growth (annual %),3.74678
country:MOZ,Population growth (annual %),2.86248
country:NIC,Population growth (annual %),1.16795
country:MUS,Population growth (annual %),0.0252785
country:NAM,Population growth (annual %),1.81072
country:PAK,Population growth (annual %),1.93132
country:NZL,Population growth (annual %),0.6345
country:PLW,Population growth (annual %),0.452215
country:NPL,Population growth (annual %),1.83
country:PER,Population growth (annual %),1.1686
country:OMN,Population growth (annual %),2.26058
country:NOR,Population growth (annual %),0.534772
country:PHL,Population growth (annual %),1.32879
country:NRU,Population growth (annual %),0.359331
country:PNG,Population growth (annual %),1.90394
country:PAN,Population growth (annual %),1.53665
country:PRK,Population growth (annual %),0.418962
country:ROU,Population growth (annual %),-0.742063
country:PYF,Population growth (annual %),0.578592
country:PRY,Population growth (annual %),1.21392
country:POL,Population growth (annual %),-0.311961
country:PSE,Population growth (annual %),2.45704
country:QAT,Population growth (annual %),1.7023
country:PRI,Population growth (annual %),-0.548624
country:RUS,Population growth (annual %),-0.4362
country:PRT,Population growth (annual %),0.0227417
country:SLE,Population growth (annual %),2.03946
country:SDN,Population growth (annual %),2.3888
country:SRB,Population growth (annual %),-0.801098
country:SMR,Population growth (annual %),0.211927
country:SGP,Population growth (annual %),-4.17034
country:RWA,Population growth (annual %),2.47305
country:SLB,Population growth (annual %),2.46146
country:SOM,Population growth (annual %),2.89162
country:SAU,Population growth (annual %),1.50189
country:SEN,Population growth (annual %),2.66589
country:SLV,Population growth (annual %),0.496729
country:SWE,Population growth (annual %),0.600592
country:STP,Population growth (annual %),1.89961
country:SYR,Population growth (annual %),4.33341
country:SXM,Population growth (annual %),1.25888
country:SVK,Population growth (annual %),-0.212359
country:SSD,Population growth (annual %),1.66247
country:SVN,Population growth (annual %),0.217987
country:SYC,Population growth (annual %),0.748749
country:TCA,Population growth (annual %),1.30352
country:SUR,Population growth (annual %),0.876424
country:SWZ,Population growth (annual %),1.04651
country:TGO,Population growth (annual %),2.38127
country:TJK,Population growth (annual %),2.19825
country:TCD,Population growth (annual %),2.93431
country:TKM,Population growth (annual %),1.42805
country:TON,Population growth (annual %),0.999745
country:THA,Population growth (annual %),0.215907
country:TLS,Population growth (annual %),1.91065
country:TUV,Population growth (annual %),1.12157
country:VCT,Population growth (annual %),0.289808
country:TUN,Population growth (annual %),0.986319
country:USA,Population growth (annual %),0.11838
country:VGB,Population growth (annual %),0.613256
country:UGA,Population growth (annual %),2.97775
country:TTO,Population growth (annual %),0.277074
country:UKR,Population growth (annual %),-0.721959
country:UZB,Population growth (annual %),1.97571
country:TUR,Population growth (annual %),0.830872
country:VEN,Population growth (annual %),0.941553
country:TZA,Population growth (annual %),2.91068
country:URY,Population growth (annual %),0.328358
country:ZAF,Population growth (annual %),1.22884
country:VNM,Population growth (annual %),0.849329
country:ZWE,Population growth (annual %),1.53061
country:XKX,Population growth (annual %),0.897901
country:VIR,Population growth (annual %),-0.395928
country:YEM,Population growth (annual %),2.20403
country:VUT,Population growth (annual %),2.35334
country:ZMB,Population growth (annual %),2.8776
country:WSM,Population growth (annual %),0.870151
country:AFG,Diabetes prevalence (% of population ages 20 to 79),10.9
country:ABW,Diabetes prevalence (% of population ages 20 to 79),4.3
country:ALB,Diabetes prevalence (% of population ages 20 to 79),10.2
country:AGO,Diabetes prevalence (% of population ages 20 to 79),4.6
country:AND,Diabetes prevalence (% of population ages 20 to 79),9.7
country:ARG,Diabetes prevalence (% of population ages 20 to 79),5.4
