s,p,o
country:GHA,Gross national expenditure (current US$),76519400000.0
country:GIN,Gross national expenditure (current US$),16210100000.0
country:GHA,Industry (including construction) value added (% of GDP),28.2645
country:GEO,Industry (including construction) value added (% of GDP),21.8179
country:GIN,Industry (including construction) value added (% of GDP),27.6951
country:GEO,GDP (current US$),18700200000.0
country:GHA,GDP (current US$),77594300000.0
country:GBR,GDP (current US$),3186860000000.0
country:GHA,GDP per capita (current LCU),14469.0
country:GBR,GDP per capita (current LCU),34415.2
country:GEO,GDP per capita (current LCU),16241.0
country:GEO,GNI per capita (current LCU),15342.5
country:GBR,GNI per capita (current LCU),34235.7
country:GHA,GNI per capita (current LCU),14104.1
country:GNQ,Gross national expenditure (current US$),11180000000.0
country:GMB,Gross national expenditure (current US$),3061790000.0
country:GRC,Gross national expenditure (current US$),233377000000.0
country:GMB,Industry (including construction) value added (% of GDP),19.5187
country:GRC,Industry (including construction) value added (% of GDP),15.9458
country:GNQ,Industry (including construction) value added (% of GDP),51.321
country:GIN,GDP (current US$),15850500000.0
country:GMB,GDP (current US$),2078070000.0
country:GNQ,GDP (current US$),12269400000.0
country:GNB,GDP (current US$),1638520000.0
country:GNB,GDP per capita (current LCU),450813.0
country:GIN,GDP per capita (current LCU),11556300.0
country:GNQ,GDP per capita (current LCU),4692600.0
country:GMB,GDP per capita (current LCU),43020.1
country:GMB,GNI per capita (current LCU),41956.5
country:GIN,GNI per capita (current LCU),10200200.0
country:GNQ,GNI per capita (current LCU),3498690.0
country:GNB,GNI per capita (current LCU),451448.0
country:GTM,Gross national expenditure (current US$),96715500000.0
country:GRD,Industry (including construction) value added (% of GDP),14.653
country:GTM,Industry (including construction) value added (% of GDP),22.0909
country:GTM,GDP (current US$),85986300000.0
country:GRC,GDP (current US$),216241000000.0
country:GRD,GDP (current US$),1122080000.0
country:GRC,GDP per capita (current LCU),17143.7
country:GTM,GDP per capita (current LCU),38869.8
country:GRD,GDP per capita (current LCU),26807.3
country:GTM,GNI per capita (current LCU),38119.8
country:GRC,GNI per capita (current LCU),17207.8
country:GRD,GNI per capita (current LCU),25544.8
country:HND,Gross national expenditure (current US$),35170400000.0
country:HKG,Gross national expenditure (current US$),350683000000.0
country:GUY,Industry (including construction) value added (% of GDP),56.267
country:HKG,GDP (current US$),368139000000.0
country:GUY,GDP (current US$),7409180000.0
country:GUY,GDP per capita (current LCU),1954650.0
country:HKG,GDP per capita (current LCU),386022.0
country:HKG,GNI per capita (current LCU),413671.0
country:GUY,GNI per capita (current LCU),1874050.0
country:HRV,Gross national expenditure (current US$),68486700000.0
country:HUN,Gross national expenditure (current US$),180896000000.0
country:HTI,Gross national expenditure (current US$),25723300000.0
country:HTI,Industry (including construction) value added (% of GDP),25.4465
country:HND,Industry (including construction) value added (% of GDP),26.5805
country:HRV,Industry (including construction) value added (% of GDP),20.5721
country:HRV,GDP (current US$),67837800000.0
country:HND,GDP (current US$),28488700000.0
country:HTI,GDP (current US$),20944400000.0
country:HND,GDP per capita (current LCU),67992.1
country:HTI,GDP per capita (current LCU),147224.0
country:HRV,GDP per capita (current LCU),110658.0
country:HTI,GNI per capita (current LCU),147386.0
country:HND,GNI per capita (current LCU),62462.6
country:HRV,GNI per capita (current LCU),110977.0
country:HUN,Industry (including construction) value added (% of GDP),26.4256
country:HUN,GDP (current US$),182281000000.0
country:HUN,GDP per capita (current LCU),5690760.0
country:HUN,GNI per capita (current LCU),5518090.0
country:IDN,Gross national expenditure (current US$),1141620000000.0
country:IDN,Industry (including construction) value added (% of GDP),39.8588
country:IDN,GDP (current US$),1186090000000.0
country:IDN,GDP per capita (current LCU),61407900.0
country:IDN,GNI per capita (current LCU),59770400.0
country:IRL,Gross national expenditure (current US$),301521000000.0
country:IND,Gross national expenditure (current US$),3232850000000.0
country:IRL,Industry (including construction) value added (% of GDP),40.2224
country:IND,Industry (including construction) value added (% of GDP),25.8718
country:IRL,GDP (current US$),498560000000.0
country:IND,GDP (current US$),3173400000000.0
country:IND,GDP per capita (current LCU),169684.0
country:IRL,GDP per capita (current LCU),83832.5
country:IRL,GNI per capita (current LCU),62565.9
country:IND,GNI per capita (current LCU),167041.0
country:ISL,Gross national expenditure (current US$),26000900000.0
country:ITA,Gross national expenditure (current US$),2049130000000.0
country:ISR,Gross national expenditure (current US$),460204000000.0
country:ITA,Industry (including construction) value added (% of GDP),22.5776
country:IRQ,Industry (including construction) value added (% of GDP),53.8302
country:ISL,GDP (current US$),25458900000.0
country:ITA,GDP (current US$),2099880000000.0
country:IRQ,GDP (current US$),207889000000.0
country:ISR,GDP (current US$),481591000000.0
country:ISR,GDP per capita (current LCU),166129.0
country:IRQ,GDP per capita (current LCU),7320160.0
country:ISL,GDP per capita (current LCU),8683980.0
country:ITA,GDP per capita (current LCU),30058.4
country:ISL,GNI per capita (current LCU),8424290.0
country:ITA,GNI per capita (current LCU),30419.3
country:IRQ,GNI per capita (current LCU),7256680.0
country:ISR,GNI per capita (current LCU),167410.0
country:JOR,Gross national expenditure (current US$),54730100000.0
country:JAM,Gross national expenditure (current US$),15783600000.0
country:KAZ,Industry (including construction) value added (% of GDP),35.037
country:JOR,Industry (including construction) value added (% of GDP),24.2132
country:JAM,Industry (including construction) value added (% of GDP),20.7521
country:KAZ,GDP (current US$),190814000000.0
country:JOR,GDP (current US$),45243700000.0
country:JAM,GDP (current US$),13638200000.0
country:JPN,GDP (current US$),4937420000000.0
country:JPN,GDP per capita (current LCU),4311720.0
country:KAZ,GDP per capita (current LCU),4276750.0
country:JAM,GDP per capita (current LCU),695029.0
country:JOR,GDP per capita (current LCU),3128.15
country:JPN,GNI per capita (current LCU),4475190.0
country:KAZ,GNI per capita (current LCU),3733700.0
country:JAM,GNI per capita (current LCU),673518.0
country:JOR,GNI per capita (current LCU),3112.09
country:KGZ,Gross national expenditure (current US$),10912800000.0
country:KEN,Gross national expenditure (current US$),119101000000.0
country:KHM,Gross national expenditure (current US$),26799100000.0
country:KGZ,Industry (including construction) value added (% of GDP),26.6885
country:KEN,Industry (including construction) value added (% of GDP),16.9949
country:KHM,Industry (including construction) value added (% of GDP),36.8348
country:KGZ,GDP (current US$),8543420000.0
country:KEN,GDP (current US$),110347000000.0
country:KHM,GDP (current US$),26961100000.0
country:KGZ,GDP per capita (current LCU),108022.0
country:KEN,GDP per capita (current LCU),220024.0
country:KHM,GDP per capita (current LCU),6520890.0
country:KEN,GNI per capita (current LCU),216723.0
country:KGZ,GNI per capita (current LCU),98961.5
country:KHM,GNI per capita (current LCU),6175540.0
country:KOR,Gross national expenditure (current US$),1732430000000.0
country:KNA,Industry (including construction) value added (% of GDP),20.898
country:KOR,Industry (including construction) value added (% of GDP),32.4768
country:KNA,GDP (current US$),976151000.0
country:KOR,GDP (current US$),1798530000000.0
country:KNA,GDP per capita (current LCU),49221.4
country:KOR,GDP per capita (current LCU),39761400.0
country:KNA,GNI per capita (current LCU),48547.0
country:KOR,GNI per capita (current LCU),40247000.0
country:LBR,Industry (including construction) value added (% of GDP),18.3642
country:LAO,Industry (including construction) value added (% of GDP),34.13
country:LBR,GDP (current US$),3486740000.0
country:LAO,GDP (current US$),18827100000.0
country:LBY,GDP (current US$),41879600000.0
country:LBN,GDP (current US$),18076600000.0
country:LBN,GDP per capita (current LCU),31626000.0
country:LBR,GDP per capita (current LCU),673.089
country:LBY,GDP per capita (current LCU),27778.1
country:LAO,GDP per capita (current LCU),24742500.0
country:LAO,GNI per capita (current LCU),23248000.0
country:LBR,GNI per capita (current LCU),632.164
country:LBY,GNI per capita (current LCU),28006.7
country:LBN,GNI per capita (current LCU),30659400.0
country:LCA,Industry (including construction) value added (% of GDP),11.0874
country:LCA,GDP (current US$),1764900000.0
country:LCA,GDP per capita (current LCU),25841.7
country:LCA,GNI per capita (current LCU),25396.7
country:LKA,Gross national expenditure (current US$),90912900000.0
country:LKA,Industry (including construction) value added (% of GDP),27.8421
country:LKA,GDP (current US$),84518800000.0
country:LKA,GDP per capita (current LCU),758680.0
country:LKA,GNI per capita (current LCU),740328.0
country:LTU,Gross national expenditure (current US$),62753300000.0
country:LUX,Gross national expenditure (current US$),56026800000.0
country:LUX,Industry (including construction) value added (% of GDP),11.4067
country:LSO,Industry (including construction) value added (% of GDP),35.1158
country:LTU,Industry (including construction) value added (% of GDP),25.5457
country:LTU,GDP (current US$),65503900000.0
country:LSO,GDP (current US$),2518470000.0
country:LSO,GDP per capita (current LCU),17238.8
country:LTU,GDP per capita (current LCU),19812.8
country:LSO,GNI per capita (current LCU),19462.4
country:LTU,GNI per capita (current LCU),19154.9
country:LVA,Gross national expenditure (current US$),39679900000.0
country:MAC,Gross national expenditure (current US$),26190600000.0
country:MAR,Gross national expenditure (current US$),145295000000.0
country:LVA,Industry (including construction) value added (% of GDP),19.8272
country:MAR,Industry (including construction) value added (% of GDP),26.8095
country:MAC,GDP (current US$),29905200000.0
country:LUX,GDP (current US$),86710800000.0
country:LVA,GDP (current US$),38872500000.0
country:LVA,GDP per capita (current LCU),17452.8
country:LUX,GDP per capita (current LCU),114719.0
country:MAC,GDP per capita (current LCU),363623.0
country:LVA,GNI per capita (current LCU),17107.7
country:MDA,Gross national expenditure (current US$),17423600000.0
country:MDG,Gross national expenditure (current US$),15763800000.0
country:MDA,Industry (including construction) value added (% of GDP),20.6073
country:MDA,GDP (current US$),13679200000.0
country:MDG,GDP (current US$),14637400000.0
country:MAR,GDP (current US$),132725000000.0
country:MAR,GDP per capita (current LCU),31430.6
country:MDG,GDP per capita (current LCU),1972080.0
country:MDA,GDP per capita (current LCU),93969.4
country:MDG,GNI per capita (current LCU),1930470.0
country:MAR,GNI per capita (current LCU),30939.7
country:MDA,GNI per capita (current LCU),96558.2
country:MEX,Gross national expenditure (current US$),1249880000000.0
country:MEX,Industry (including construction) value added (% of GDP),31.8722
country:MHL,GDP (current US$),248666000.0
country:MDV,GDP (current US$),4889670000.0
country:MEX,GDP (current US$),1293040000000.0
country:MEX,GDP per capita (current LCU),201232.0
country:MHL,GDP per capita (current LCU),4170.98
country:MDV,GDP per capita (current LCU),138272.0
country:MHL,GNI per capita (current LCU),5110.3
country:MDV,GNI per capita (current LCU),125257.0
country:MEX,GNI per capita (current LCU),196200.0
country:MLI,Gross national expenditure (current US$),21178600000.0
country:MKD,Gross national expenditure (current US$),16092500000.0
country:MMR,Gross national expenditure (current US$),62984900000.0
country:MLT,Gross national expenditure (current US$),14886500000.0
country:MLT,Industry (including construction) value added (% of GDP),13.0
country:MLI,Industry (including construction) value added (% of GDP),20.5038
country:MKD,Industry (including construction) value added (% of GDP),21.4869
country:MLI,GDP (current US$),19143700000.0
country:MLT,GDP (current US$),17189700000.0
country:MKD,GDP (current US$),13879300000.0
country:MLT,GDP per capita (current LCU),28119.0
country:MKD,GDP per capita (current LCU),350221.0
country:MLI,GDP per capita (current LCU),509011.0
country:MLI,GNI per capita (current LCU),493920.0
country:MKD,GNI per capita (current LCU),333510.0
country:MLT,GNI per capita (current LCU),26252.6
country:MNE,Gross national expenditure (current US$),6951520000.0
country:MNG,Gross national expenditure (current US$),15549200000.0
country:MMR,Industry (including construction) value added (% of GDP),35.2151
country:MNG,Industry (including construction) value added (% of GDP),37.007
country:MNE,Industry (including construction) value added (% of GDP),14.9506
country:MNE,GDP (current US$),5809170000.0
country:MMR,GDP (current US$),65067800000.0
country:MNG,GDP (current US$),15098000000.0
country:MMR,GDP per capita (current LCU),1768670.0
country:MNG,GDP per capita (current LCU),12921300.0
country:MNE,GDP per capita (current LCU),7919.76
country:MNG,GNI per capita (current LCU),11143900.0
country:MMR,GNI per capita (current LCU),1721640.0
country:MNE,GNI per capita (current LCU),8087.54
country:MUS,Gross national expenditure (current US$),12280200000.0
country:MUS,Industry (including construction) value added (% of GDP),18.6567
country:MRT,GDP (current US$),8227580000.0
country:MOZ,GDP (current US$),16095800000.0
country:MUS,GDP (current US$),11156700000.0
country:MOZ,GDP per capita (current LCU),32761.6
country:MRT,GDP per capita (current LCU),63182.2
country:MUS,GDP per capita (current LCU),367395.0
country:MRT,GNI per capita (current LCU),62533.9
country:MOZ,GNI per capita (current LCU),32078.5
country:MUS,GNI per capita (current LCU),421751.0
country:MYS,Gross national expenditure (current US$),346357000000.0
country:MWI,Industry (including construction) value added (% of GDP),18.3794
country:MYS,Industry (including construction) value added (% of GDP),37.7329
country:MWI,GDP (current US$),12626700000.0
country:MYS,GDP (current US$),372701000000.0
country:NAM,GDP (current US$),12236300000.0
country:MWI,GDP per capita (current LCU),517917.0
country:NAM,GDP per capita (current LCU),69892.4
country:MYS,GDP per capita (current LCU),47113.9
country:NAM,GNI per capita (current LCU),68794.7
country:MWI,GNI per capita (current LCU),508555.0
country:MYS,GNI per capita (current LCU),45704.6
country:BRA,Investment in water and sanitation with private participation (current US$),5614000000.0
country:BRA,Public private partnerships investment in water and sanitation (current US$),5614000000.0
country:BWA,Investment in water and sanitation with private participation (current US$),92000000.0
country:CHN,Investment in water and sanitation with private participation (current US$),3654630000.0
country:BWA,Public private partnerships investment in water and sanitation (current US$),92000000.0
country:CHN,Public private partnerships investment in water and sanitation (current US$),3654630000.0
country:EGY,Investment in water and sanitation with private participation (current US$),48500000.0
country:EGY,Public private partnerships investment in water and sanitation (current US$),48500000.0
country:IND,Investment in water and sanitation with private participation (current US$),278250000.0
country:IND,Public private partnerships investment in water and sanitation (current US$),278250000.0
country:LKA,Investment in water and sanitation with private participation (current US$),70640000.0
country:LKA,Public private partnerships investment in water and sanitation (current US$),70640000.0
country:PHL,Investment in water and sanitation with private participation (current US$),27810000.0
country:PHL,Public private partnerships investment in water and sanitation (current US$),27810000.0
country:IDN,Diabetes prevalence (% of population ages 20 to 79),10.6
country:IMN,Diabetes prevalence (% of population ages 20 to 79),6.3
country:IND,Diabetes prevalence (% of population ages 20 to 79),9.6
country:IRL,Diabetes prevalence (% of population ages 20 to 79),3.0
country:IRQ,Diabetes prevalence (% of population ages 20 to 79),10.7
country:IRN,Diabetes prevalence (% of population ages 20 to 79),9.1
country:ISL,Diabetes prevalence (% of population ages 20 to 79),5.5
country:JAM,Diabetes prevalence (% of population ages 20 to 79),11.1
country:ITA,Diabetes prevalence (% of population ages 20 to 79),6.4
country:JOR,Diabetes prevalence (% of population ages 20 to 79),15.4
country:ISR,Diabetes prevalence (% of population ages 20 to 79),8.5
country:KAZ,Diabetes prevalence (% of population ages 20 to 79),6.6
country:KGZ,Diabetes prevalence (% of population ages 20 to 79),6.6
country:JPN,Diabetes prevalence (% of population ages 20 to 79),6.6
country:KEN,Diabetes prevalence (% of population ages 20 to 79),4.0
country:KIR,Diabetes prevalence (% of population ages 20 to 79),22.1
country:KOR,Diabetes prevalence (% of population ages 20 to 79),6.8
country:KHM,Diabetes prevalence (% of population ages 20 to 79),7.3
country:KNA,Diabetes prevalence (% of population ages 20 to 79),16.1
country:LBN,Diabetes prevalence (% of population ages 20 to 79),8.0
country:KWT,Diabetes prevalence (% of population ages 20 to 79),24.9
country:LAO,Diabetes prevalence (% of population ages 20 to 79),6.2
country:LBY,Diabetes prevalence (% of population ages 20 to 79),8.7
country:LBR,Diabetes prevalence (% of population ages 20 to 79),2.1
country:LCA,Diabetes prevalence (% of population ages 20 to 79),11.7
country:LKA,Diabetes prevalence (% of population ages 20 to 79),11.3
country:LIE,Diabetes prevalence (% of population ages 20 to 79),6.1
country:LSO,Diabetes prevalence (% of population ages 20 to 79),4.6
country:LUX,Diabetes prevalence (% of population ages 20 to 79),5.9
country:MAC,Diabetes prevalence (% of population ages 20 to 79),7.8
country:LTU,Diabetes prevalence (% of population ages 20 to 79),5.8
country:LVA,Diabetes prevalence (% of population ages 20 to 79),5.9
country:MAR,Diabetes prevalence (% of population ages 20 to 79),9.1
country:MCO,Diabetes prevalence (% of population ages 20 to 79),6.2
country:MDA,Diabetes prevalence (% of population ages 20 to 79),5.6
country:MDV,Diabetes prevalence (% of population ages 20 to 79),9.2
country:MDG,Diabetes prevalence (% of population ages 20 to 79),4.6
country:MEX,Diabetes prevalence (% of population ages 20 to 79),16.9
country:MHL,Diabetes prevalence (% of population ages 20 to 79),23.0
country:MKD,Diabetes prevalence (% of population ages 20 to 79),6.1
country:MLI,Diabetes prevalence (% of population ages 20 to 79),2.1
country:MMR,Diabetes prevalence (% of population ages 20 to 79),7.1
country:MLT,Diabetes prevalence (% of population ages 20 to 79),8.0
country:MNE,Diabetes prevalence (% of population ages 20 to 79),9.1
country:MNP,Diabetes prevalence (% of population ages 20 to 79),23.4
country:MNG,Diabetes prevalence (% of population ages 20 to 79),6.9
country:MOZ,Diabetes prevalence (% of population ages 20 to 79),3.3
country:MWI,Diabetes prevalence (% of population ages 20 to 79),7.3
country:MUS,Diabetes prevalence (% of population ages 20 to 79),22.6
country:MYS,Diabetes prevalence (% of population ages 20 to 79),19.0
country:MRT,Diabetes prevalence (% of population ages 20 to 79),2.1
country:NAM,Diabetes prevalence (% of population ages 20 to 79),6.7
country:NER,Diabetes prevalence (% of population ages 20 to 79),5.2
country:NCL,Diabetes prevalence (% of population ages 20 to 79),23.4
country:NIC,Diabetes prevalence (% of population ages 20 to 79),9.3
country:NOR,Diabetes prevalence (% of population ages 20 to 79),3.6
country:NGA,Diabetes prevalence (% of population ages 20 to 79),3.6
country:NLD,Diabetes prevalence (% of population ages 20 to 79),4.5
country:NRU,Diabetes prevalence (% of population ages 20 to 79),23.4
country:NPL,Diabetes prevalence (% of population ages 20 to 79),8.7
country:NZL,Diabetes prevalence (% of population ages 20 to 79),6.2
country:PAN,Diabetes prevalence (% of population ages 20 to 79),8.2
country:OMN,Diabetes prevalence (% of population ages 20 to 79),13.8
country:PAK,Diabetes prevalence (% of population ages 20 to 79),30.8
country:PHL,Diabetes prevalence (% of population ages 20 to 79),7.1
country:PNG,Diabetes prevalence (% of population ages 20 to 79),16.7
country:PER,Diabetes prevalence (% of population ages 20 to 79),4.8
country:PLW,Diabetes prevalence (% of population ages 20 to 79),17.0
country:PRI,Diabetes prevalence (% of population ages 20 to 79),13.3
country:POL,Diabetes prevalence (% of population ages 20 to 79),6.8
country:NAM,Gross national expenditure (current US$),14363400000.0
country:NER,Gross national expenditure (current US$),17592300000.0
country:NAM,Industry (including construction) value added (% of GDP),25.0413
country:NLD,Gross national expenditure (current US$),905890000000.0
country:NOR,Gross national expenditure (current US$),422343000000.0
country:NGA,Gross national expenditure (current US$),445624000000.0
country:NIC,Gross national expenditure (current US$),15772100000.0
country:NGA,Industry (including construction) value added (% of GDP),31.4075
country:NLD,Industry (including construction) value added (% of GDP),18.0353
country:NER,Industry (including construction) value added (% of GDP),20.6524
country:NIC,Industry (including construction) value added (% of GDP),27.1905
country:NGA,GDP (current US$),440777000000.0
country:NLD,GDP (current US$),1018010000000.0
country:NER,GDP (current US$),14950900000.0
country:NIC,GDP (current US$),14013000000.0
country:NER,GDP per capita (current LCU),329904.0
country:NIC,GDP per capita (current LCU),73533.9
country:NGA,GDP per capita (current LCU),832899.0
country:NLD,GDP per capita (current LCU),49090.2
country:NGA,GNI per capita (current LCU),800872.0
country:NLD,GNI per capita (current LCU),48780.1
country:NER,GNI per capita (current LCU),335142.0
country:NIC,GNI per capita (current LCU),69259.2
country:NPL,Gross national expenditure (current US$),46476600000.0
country:NOR,Industry (including construction) value added (% of GDP),35.5814
country:NPL,Industry (including construction) value added (% of GDP),11.7225
country:NZL,GDP (current US$),249992000000.0
country:NOR,GDP (current US$),482437000000.0
country:NRU,GDP (current US$),133219000.0
country:NPL,GDP (current US$),36288800000.0
country:NZL,GDP per capita (current LCU),68995.8
country:NPL,GDP per capita (current LCU),144139.0
country:NOR,GDP per capita (current LCU),766252.0
country:NRU,GDP per capita (current LCU),16416.8
country:NPL,GNI per capita (current LCU),144923.0
country:NZL,GNI per capita (current LCU),67542.9
country:NOR,GNI per capita (current LCU),801481.0
country:NRU,GNI per capita (current LCU),27297.0
country:PAK,Gross national expenditure (current US$),380816000000.0
country:PAK,Industry (including construction) value added (% of GDP),18.7032
country:OMN,Industry (including construction) value added (% of GDP),52.2006
country:PAK,GDP (current US$),346343000000.0
country:OMN,GDP (current US$),85868600000.0
country:OMN,GDP per capita (current LCU),6320.91
country:PAK,GDP per capita (current LCU),246394.0
country:PAK,GNI per capita (current LCU),243113.0
country:PER,Gross national expenditure (current US$),217296000000.0
country:PHL,Gross national expenditure (current US$),441444000000.0
country:PHL,Industry (including construction) value added (% of GDP),28.8864
country:PAN,Industry (including construction) value added (% of GDP),27.6821
country:PAN,GDP (current US$),63605100000.0
country:PHL,GDP (current US$),394086000000.0
country:PER,GDP (current US$),223249000000.0
country:PHL,GDP per capita (current LCU),174796.0
country:PAN,GDP per capita (current LCU),14516.5
country:PER,GDP per capita (current LCU),25969.9
country:PER,GNI per capita (current LCU),24108.6
country:PAN,GNI per capita (current LCU),13702.7
country:PHL,GNI per capita (current LCU),181045.0
country:POL,Gross national expenditure (current US$),645753000000.0
country:POL,Industry (including construction) value added (% of GDP),29.298
country:POL,GDP (current US$),674048000000.0
country:PNG,GDP (current US$),26594300000.0
country:POL,GDP per capita (current LCU),68899.9
country:PNG,GDP per capita (current LCU),10232.9
country:PNG,GNI per capita (current LCU),9980.47
country:POL,GNI per capita (current LCU),65833.3
country:PRY,Gross national expenditure (current US$),38528500000.0
country:PRT,Gross national expenditure (current US$),257370000000.0
country:PSE,Gross national expenditure (current US$),24845700000.0
country:PRY,Industry (including construction) value added (% of GDP),35.0725
country:PRT,Industry (including construction) value added (% of GDP),19.2343
country:PSE,GDP (current US$),18036800000.0
country:PRY,GDP (current US$),38986800000.0
country:PRT,GDP (current US$),249886000000.0
country:PRY,GDP per capita (current LCU),36581200.0
country:PRT,GDP per capita (current LCU),20513.5
country:PSE,GDP per capita (current LCU),3663.97
country:PRY,GNI per capita (current LCU),35677500.0
country:PRT,GNI per capita (current LCU),20276.7
country:PSE,GNI per capita (current LCU),4354.19
country:QAT,Industry (including construction) value added (% of GDP),60.0379
country:QAT,GDP (current US$),179571000000.0
country:QAT,GDP per capita (current LCU),223045.0
country:QAT,GNI per capita (current LCU),219612.0
country:RWA,Gross national expenditure (current US$),12811100000.0
country:RUS,Gross national expenditure (current US$),1599250000000.0
country:ROU,Gross national expenditure (current US$),300167000000.0
country:RWA,Industry (including construction) value added (% of GDP),20.3412
country:ROU,Industry (including construction) value added (% of GDP),27.7838
country:RUS,Industry (including construction) value added (% of GDP),33.2147
country:RUS,GDP (current US$),1775800000000.0
country:ROU,GDP (current US$),284088000000.0
country:RWA,GDP (current US$),11070400000.0
country:RUS,GDP per capita (current LCU),896578.0
country:RWA,GDP per capita (current LCU),824345.0
country:ROU,GDP per capita (current LCU),61831.5
country:RUS,GNI per capita (current LCU),874732.0
country:ROU,GNI per capita (current LCU),60787.2
country:RWA,GNI per capita (current LCU),807509.0
country:SEN,Gross national expenditure (current US$),32772800000.0
country:SAU,Gross national expenditure (current US$),746671000000.0
country:SGP,Gross national expenditure (current US$),265471000000.0
country:SDN,Gross national expenditure (current US$),34197200000.0
country:SEN,Industry (including construction) value added (% of GDP),24.6658
country:SGP,Industry (including construction) value added (% of GDP),24.903
country:SDN,Industry (including construction) value added (% of GDP),7.36874
country:SAU,Industry (including construction) value added (% of GDP),45.5221
country:SEN,GDP (current US$),27625400000.0
country:SGP,GDP (current US$),396987000000.0
country:SAU,GDP (current US$),833541000000.0
country:SDN,GDP (current US$),34326100000.0
country:SAU,GDP per capita (current LCU),88447.1
country:SDN,GDP per capita (current LCU),298093.0
country:SGP,GDP per capita (current LCU),97798.7
country:SEN,GDP per capita (current LCU),890838.0
country:SEN,GNI per capita (current LCU),872020.0
country:SDN,GNI per capita (current LCU),282767.0
country:SLV,Gross national expenditure (current US$),36000000000.0
country:SLV,Industry (including construction) value added (% of GDP),24.0478
country:SLV,GDP (current US$),28736900000.0
country:SLB,GDP (current US$),1645210000.0
country:SLE,GDP (current US$),4200380000.0
country:SLB,GDP per capita (current LCU),18767.2
country:SLV,GDP per capita (current LCU),4408.52
country:SLE,GDP per capita (current LCU),5661840.0
country:SLV,GNI per capita (current LCU),4159.35
country:SLB,GNI per capita (current LCU),18906.6
country:SGP,GNI per capita (current LCU),86015.0
country:SLE,GNI per capita (current LCU),5469390.0
country:SRB,Gross national expenditure (current US$),68018400000.0
country:SRB,Industry (including construction) value added (% of GDP),25.2545
country:SRB,GDP (current US$),63068100000.0
country:SOM,GDP (current US$),7292720000.0
country:SRB,GDP per capita (current LCU),915933.0
country:SOM,GDP per capita (current LCU),11607600.0
country:SOM,GNI per capita (current LCU),11542400.0
country:SRB,GNI per capita (current LCU),880939.0
country:STP,Industry (including construction) value added (% of GDP),12.5227
country:STP,GDP (current US$),547093000.0
country:STP,GDP per capita (current LCU),51107.1
country:STP,GNI per capita (current LCU),51639.6
country:SVN,Gross national expenditure (current US$),58256700000.0
country:SVK,Gross national expenditure (current US$),115606000000.0
country:SWE,Gross national expenditure (current US$),600132000000.0
country:SVN,Industry (including construction) value added (% of GDP),29.7745
country:SVK,Industry (including construction) value added (% of GDP),27.4788
country:SWE,Industry (including construction) value added (% of GDP),22.0083
country:SWZ,Industry (including construction) value added (% of GDP),32.939
country:SUR,GDP (current US$),2862130000.0
country:SVN,GDP (current US$),61526300000.0
country:SWE,GDP (current US$),627438000000.0
country:SVK,GDP (current US$),114871000000.0
country:SVN,GDP per capita (current LCU),24689.1
country:SUR,GDP per capita (current LCU),95275.8
country:SWE,GDP per capita (current LCU),516644.0
country:SVK,GDP per capita (current LCU),17829.7
country:SUR,GNI per capita (current LCU),82473.0
country:SVN,GNI per capita (current LCU),24372.1
country:SWE,GNI per capita (current LCU),532023.0
country:SVK,GNI per capita (current LCU),17524.5
country:SYC,Gross national expenditure (current US$),1654440000.0
country:SYC,Industry (including construction) value added (% of GDP),14.4162
country:SYC,GDP (current US$),1320050000.0
country:SWZ,GDP (current US$),4941370000.0
country:SYC,GDP per capita (current LCU),225157.0
country:SWZ,GDP per capita (current LCU),62310.0
country:SWZ,GNI per capita (current LCU),56293.1
country:SYC,GNI per capita (current LCU),211661.0
country:TCD,Gross national expenditure (current US$),12426100000.0
country:TGO,Gross national expenditure (current US$),9330950000.0
country:TCD,Industry (including construction) value added (% of GDP),10.9005
country:TCA,Industry (including construction) value added (% of GDP),16.3868
country:TCD,GDP (current US$),11780000000.0
country:TCA,GDP (current US$),943270000.0
country:TCD,GDP per capita (current LCU),386188.0
country:TCA,GDP per capita (current LCU),24047.1
country:TCD,GNI per capita (current LCU),373112.0
country:TCA,GNI per capita (current LCU),23297.1
country:THA,Gross national expenditure (current US$),502636000000.0
country:TGO,Industry (including construction) value added (% of GDP),22.1566
country:THA,Industry (including construction) value added (% of GDP),34.7748
country:TJK,GDP (current US$),8746270000.0
country:TGO,GDP (current US$),8413200000.0
country:THA,GDP (current US$),505982000000.0
country:THA,GDP per capita (current LCU),231303.0
country:TJK,GDP per capita (current LCU),10145.1
country:TGO,GDP per capita (current LCU),550277.0
country:TJK,GNI per capita (current LCU),12257.4
country:TGO,GNI per capita (current LCU),551741.0
country:THA,GNI per capita (current LCU),223165.0
country:TLS,GDP (current US$),1959130000.0
country:TLS,GDP per capita (current LCU),1457.83
country:TLS,GNI per capita (current LCU),1769.77
country:TUN,Industry (including construction) value added (% of GDP),22.8558
country:TUN,GDP (current US$),46840000000.0
country:TTO,GDP (current US$),21391800000.0
country:TTO,GDP per capita (current LCU),103021.0
country:TUN,GDP per capita (current LCU),10966.6
country:TTO,GNI per capita (current LCU),98417.1
country:TUN,GNI per capita (current LCU),10659.4
country:TZA,Gross national expenditure (current US$),73810500000.0
country:TUR,Gross national expenditure (current US$),818708000000.0
country:UGA,Gross national expenditure (current US$),43176000000.0
country:TZA,Industry (including construction) value added (% of GDP),29.279
